Title,Company,Location,Salary,Source,Category,Salary_Numeric,City
React (Next.js) Developer,ImagineArt,"Islamabad, Islāmābād, Pakistan",N/A,LinkedIn,Frontend Developer,,"Islamabad, Islāmābād, Pakistan"
Senior Frontend Developer,Kommerce Hub,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Frontend Developer,,"Lahore, Punjab, Pakistan"
Senior Frontend Engineer,Beam AI,"Karāchi, Sindh, Pakistan",N/A,LinkedIn,Frontend Developer,,"Karāchi, Sindh, Pakistan"
Software Engineer - Frontend (Angular),Ascertia,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Frontend Developer,,"Lahore, Punjab, Pakistan"
PHP Developer / wordpress,NetPurl (Pvt.) Ltd.,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Frontend Developer,,"Lahore, Punjab, Pakistan"
Full Stack Engineer / Web Developer,Burjline Builders,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Frontend Developer,,"Lahore, Punjab, Pakistan"
Backend Developer,Flatgigs,"Karāchi, Sindh, Pakistan",N/A,LinkedIn,Frontend Developer,,"Karāchi, Sindh, Pakistan"
Full Stack Developer - Node.js,Tiksom Limited,"Johar Town, Punjab, Pakistan",N/A,LinkedIn,Frontend Developer,,"Johar Town, Punjab, Pakistan"
React Native Developer,Tiksom Limited,"Johar Town, Punjab, Pakistan",N/A,LinkedIn,Frontend Developer,,"Johar Town, Punjab, Pakistan"
Senior Frontend Developer (React.js / Next.js),Navigator HR Consulting Solutions,"Islamabad, Islāmābād, Pakistan",N/A,LinkedIn,Frontend Developer,,"Islamabad, Islāmābād, Pakistan"
Front-end Angular Developer,MicroAgility APAC,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Frontend Developer,,"Lahore, Punjab, Pakistan"
PHP Developer (Phalcon & Laravel),Tiksom Limited,"Johar Town, Punjab, Pakistan",N/A,LinkedIn,Frontend Developer,,"Johar Town, Punjab, Pakistan"
Frontend Developer – Lead (SAPUI5 / Fiori),Convo,Pakistan,N/A,LinkedIn,Frontend Developer,,Pakistan
Full Stack Developer,Qbatch,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Frontend Developer,,"Lahore, Punjab, Pakistan"
Front-End Engineer (React Native),Fasset,"Islamabad, Islāmābād, Pakistan",N/A,LinkedIn,Frontend Developer,,"Islamabad, Islāmābād, Pakistan"
"Full-Stack Developer (Python, React, AI)",Huzzle.com,Pakistan,N/A,LinkedIn,Frontend Developer,,Pakistan
Staff Full Stack- Web and Mobile,Flatgigs,"Islamabad, Islāmābād, Pakistan",N/A,LinkedIn,Frontend Developer,,"Islamabad, Islāmābād, Pakistan"
Mobile Front-end Developer (Flutter/React Native),Remote Office,Pakistan,N/A,LinkedIn,Frontend Developer,,Pakistan
Next.js Developer,IO DIGITAL,"Karachi Division, Sindh, Pakistan",N/A,LinkedIn,Frontend Developer,,"Karachi Division, Sindh, Pakistan"
Sr. Frontend Engineer,NorthBay - Pakistan,"Karāchi, Sindh, Pakistan",N/A,LinkedIn,Frontend Developer,,"Karāchi, Sindh, Pakistan"
MERN/React Native Developer,Flatgigs,"Karāchi, Sindh, Pakistan",N/A,LinkedIn,Frontend Developer,,"Karāchi, Sindh, Pakistan"
Sr. Frontend Engineer,NorthBay - Pakistan,"Islamabad, Islāmābād, Pakistan",N/A,LinkedIn,Frontend Developer,,"Islamabad, Islāmābād, Pakistan"
Angular-Ionic Developer,TechmateTech LLC,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Frontend Developer,,"Lahore, Punjab, Pakistan"
Full Stack PHP Developer,Flatgigs,"Karāchi, Sindh, Pakistan",N/A,LinkedIn,Frontend Developer,,"Karāchi, Sindh, Pakistan"
Full Stack Engineer / Web Developer - AU Software,Qureos,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Frontend Developer,,"Lahore, Punjab, Pakistan"
Sr. React Developer,iVolve Technologies,"Karachi Division, Sindh, Pakistan",N/A,LinkedIn,Frontend Developer,,"Karachi Division, Sindh, Pakistan"
Sr. Frontend Engineer,NorthBay Solutions,"Islamabad, Islāmābād, Pakistan",N/A,LinkedIn,Frontend Developer,,"Islamabad, Islāmābād, Pakistan"
Sr. Frontend Engineer,NorthBay - Pakistan,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Frontend Developer,,"Lahore, Punjab, Pakistan"
PHP Developer - Sr. Laravel Developer | WebnetPakistan,Webnet Pakistan Pvt Ltd,"Karāchi, Sindh, Pakistan",N/A,LinkedIn,Frontend Developer,,"Karāchi, Sindh, Pakistan"
Mid Level React Native Developer,FusionWave (pvt.) Limited,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Frontend Developer,,"Lahore, Punjab, Pakistan"
Senior Backend Developer,"Naseeb Enterprise Inc, Faisalabad, Pakistan","Naseeb Enterprise Inc,",N/A,Rozee,Backend Developer,,"Naseeb Enterprise Inc,"
